TS_Machine,ax,ay,az
1555581086.1736,-23,39,5
1555581086.20485,-4,62,18
1555581086.2361,-3,49,9
1555581086.26735,-45,30,-19
1555581086.2986,-89,28,-32
1555581086.32985,-115,-8,-50
1555581086.36111,-128,-30,-71
1555581086.39236,-128,-49,-89
1555581086.42361,-128,-39,-69
1555581086.45486,-66,-33,-43
1555581086.48611,-43,-35,-35
1555581086.51736,-3,-34,-22
1555581086.54861,17,-21,-17
1555581086.57987,10,-26,-20
1555581086.61112,19,-66,-21
1555581086.64237,-1,-81,-34
1555581086.67362,-76,-79,-44
1555581086.70487,-115,-99,-58
1555581086.73612,-128,-79,-84
1555581086.76737,-128,-57,-66
1555581086.79863,-118,-18,-47
1555581086.82988,-86,-1,-35
1555581086.86113,-42,24,-13
1555581086.89238,-25,33,-8
1555581086.92363,5,51,6
1555581086.95488,10,49,6
1555581086.98613,3,33,3
1555581087.01739,-69,33,-10
1555581087.04864,-103,24,-20
1555581087.07989,-128,-16,-33
1555581087.11114,-128,-29,-60
1555581087.14239,-128,-48,-61
1555581087.17364,-110,-51,-52
1555581087.20489,-35,-51,-31
1555581087.23615,-16,-52,-22
1555581087.2674,1,-35,-4
1555581087.29865,4,-26,4
