TS_Machine,gsr
1555571080.598,3.061878
1555571080.848,3.055474
1555571081.098,3.052912
1555571081.348,3.049069
1555571081.598,3.043945
1555571081.848,3.038821
1555571082.098,3.036259
1555571082.348,3.034978
1555571082.598,3.031136
1555571082.848,3.027293
1555571083.098,3.022169
1555571083.348,3.017045
1555571083.598,3.013202
1555571083.848,3.008079
1555571084.098,3.004236
1555571084.348,2.993988
1555571084.598,2.988864
1555571084.848,2.986302
1555571085.098,2.926098
1555571085.348,2.926098
1555571085.598,2.926098
1555571085.848,2.926098
1555571086.098,2.926098
1555571086.348,2.926098
1555571086.598,2.926098
1555571086.848,2.926098
1555571087.098,2.926098
1555571087.348,2.926098
1555571087.598,2.926098
1555571087.848,2.926098
1555571088.098,2.926098
1555571088.348,2.924817
1555571088.598,2.922255
1555571088.848,2.912008
1555571089.098,2.912008
1555571089.348,2.933784
1555571089.598,2.965807
1555571089.848,2.997831
1555571090.098,3.033697
1555571090.348,3.065721
1555571090.598,3.099026
1555571090.848,3.140016
1555571091.098,3.18613
1555571091.348,3.216873
1555571091.598,3.234806
1555571091.848,3.242491
1555571092.098,3.237368
1555571092.348,3.22712
1555571092.598,3.214311
1555571092.848,3.197659
1555571093.098,3.178444
1555571093.348,3.161792
1555571093.598,3.151544
1555571093.848,3.141297
1555571094.098,3.134892
1555571094.348,3.124645
1555571094.598,3.11824
1555571094.848,3.113116
1555571095.098,3.10543
1555571095.348,3.100307
1555571095.598,3.095183
1555571095.848,3.09134
1555571096.098,3.086216
1555571096.348,3.082373
1555571096.598,3.074688
1555571096.848,3.065721
1555571097.098,3.063159
1555571097.348,3.059316
1555571097.598,3.051631
1555571097.848,3.045226
1555571098.098,3.041383
1555571098.348,3.03754
1555571098.598,3.029855
1555571098.848,3.024731
1555571099.098,3.020888
1555571099.348,3.017045
1555571099.598,3.01064
1555571099.848,3.004236
1555571100.098,2.999112
1555571100.348,2.997831
1555571100.598,2.991426
1555571100.848,2.987583
1555571101.098,2.979898
1555571101.348,2.976055
1555571101.598,2.96965
1555571101.848,2.964526
1555571102.098,2.963245
1555571102.348,2.954279
1555571102.598,2.949155
1555571102.848,2.94275
1555571103.098,2.940188
1555571103.348,2.931222
1555571103.598,2.929941
1555571103.848,2.926098
1555571104.098,2.920974
1555571104.348,2.91585
1555571104.598,2.909446
1555571104.848,2.908165
1555571105.098,2.900479
1555571105.348,2.895355
1555571105.598,2.888951
1555571105.848,2.888951
1555571106.098,2.879984
1555571106.348,2.87486
1555571106.598,2.871017
1555571106.848,2.869736
1555571107.098,2.86077
1555571107.348,2.86077
1555571107.598,2.851803
1555571107.848,2.845398
1555571108.098,2.844118
1555571108.348,2.836432
1555571108.598,2.832589
1555571108.848,2.826184
1555571109.098,2.822341
1555571109.348,2.822341
1555571109.598,2.813375
1555571109.848,2.808251
1555571110.098,2.80697
1555571110.348,2.801846
1555571110.598,2.791599
1555571110.848,2.786475
1555571111.098,2.783913
1555571111.348,2.776227
1555571111.598,2.768542
1555571111.848,2.771104
1555571112.098,2.769823
1555571112.348,2.760856
1555571112.598,2.757013
1555571112.848,2.751889
1555571113.098,2.754451
1555571113.348,2.750608
1555571113.598,2.75317
1555571113.848,2.758294
1555571114.098,2.759575
1555571114.348,2.758294
1555571114.598,2.759575
1555571114.848,2.759575
1555571115.098,2.750608
1555571115.348,2.746766
1555571115.598,2.744204
1555571115.848,2.741642
1555571116.098,2.737799
1555571116.348,2.742923
1555571116.598,2.745485
1555571116.848,2.749328
1555571117.098,2.746766
1555571117.348,2.75317
1555571117.598,2.757013
1555571117.848,2.741642
1555571118.098,2.736518
1555571118.348,2.735237
1555571118.598,2.728832
1555571118.848,2.721147
1555571119.098,2.717304
1555571119.348,2.714742
1555571119.598,2.708337
1555571119.848,2.701933
1555571120.098,2.700652
1555571120.348,2.700652
1555571120.598,2.695528
1555571120.848,2.691685
1555571121.098,2.692966
1555571121.348,2.689123
1555571121.598,2.682719
1555571121.848,2.680156
1555571122.098,2.668628
1555571122.348,2.672471
1555571122.598,2.664785
1555571122.848,2.662223
1555571123.098,2.659661
1555571123.348,2.655818
1555571123.598,2.646852
1555571123.848,2.64429
1555571124.098,2.641728
1555571124.348,2.643009
1555571124.598,2.635324
1555571124.848,2.627638
1555571125.098,2.6302
1555571125.348,2.626357
1555571125.598,2.61739
1555571125.848,2.61739
1555571126.098,2.614828
1555571126.348,2.605862
1555571126.598,2.602019
1555571126.848,2.6033
1555571127.098,2.596895
1555571127.348,2.591771
1555571127.598,2.586648
1555571127.848,2.585366
1555571128.098,2.582805
1555571128.348,2.573838
1555571128.598,2.573838
1555571128.848,2.573838
1555571129.098,2.567433
1555571129.348,2.564872
1555571129.598,2.561029
1555571129.848,2.557186
1555571130.098,2.550781
1555571130.348,2.546938
1555571130.598,2.544376
1555571130.848,2.545657
1555571131.098,2.534129
