TS_Machine,tmp
1555581762.28383,35.21
1555581762.53384,35.21
1555581762.78385,35.21
1555581763.03386,35.19
1555581763.28387,35.19
1555581763.53388,35.19
1555581763.78389,35.19
1555581764.03391,35.23
1555581764.28392,35.23
1555581764.53393,35.23
1555581764.78394,35.23
1555581765.03395,35.23
1555581765.28396,35.23
1555581765.53398,35.23
1555581765.78399,35.23
1555581766.034,35.21
1555581766.28401,35.21
1555581766.53402,35.21
1555581766.78403,35.21
1555581767.03405,35.23
1555581767.28406,35.23
1555581767.53407,35.23
1555581767.78408,35.23
1555581768.03409,35.25
1555581768.2841,35.25
1555581768.53411,35.25
1555581768.78413,35.25
1555581769.03414,35.23
1555581769.28415,35.23
1555581769.53416,35.23
1555581769.78417,35.23
1555581770.03418,35.25
1555581770.2842,35.25
1555581770.53421,35.25
1555581770.78422,35.25
1555581771.03423,35.23
1555581771.28424,35.23
1555581771.53425,35.23
1555581771.78427,35.23
1555581772.03428,35.27
1555581772.28429,35.27
1555581772.5343,35.27
1555581772.78431,35.27
1555581773.03432,35.25
1555581773.28433,35.25
1555581773.53435,35.25
1555581773.78436,35.25
1555581774.03437,35.25
1555581774.28438,35.25
1555581774.53439,35.25
1555581774.7844,35.25
1555581775.03442,35.25
1555581775.28443,35.25
1555581775.53444,35.25
1555581775.78445,35.25
1555581776.03446,35.27
1555581776.28447,35.27
1555581776.53449,35.27
1555581776.7845,35.27
1555581777.03451,35.25
1555581777.28452,35.25
1555581777.53453,35.25
1555581777.78454,35.25
1555581778.03455,35.25
1555581778.28457,35.25
1555581778.53458,35.25
1555581778.78459,35.25
1555581779.0346,35.27
1555581779.28461,35.27
1555581779.53462,35.27
1555581779.78464,35.27
1555581780.03465,35.27
1555581780.28466,35.27
1555581780.53467,35.27
1555581780.78468,35.27
1555581781.03469,35.27
1555581781.2847,35.27
1555581781.53472,35.27
1555581781.78473,35.27
1555581782.03474,35.27
1555581782.28475,35.27
1555581782.53476,35.27
1555581782.78477,35.27
1555581783.03479,35.27
1555581783.2848,35.27
1555581783.53481,35.27
1555581783.78482,35.27
1555581784.03483,35.25
1555581784.28484,35.25
1555581784.53486,35.25
1555581784.78487,35.25
